:START_ID,:TYPE,:END_ID,wikiID
Q12876,subclassOf,Q130368,P279
Q42889,subclassOf,Q11019,P279
Q1422299,subclassOf,Q837718,P279
Q67518233,subclassOf,Q67518978,P279
Q2998482,subclassOf,Q11460,P279
Q811430,subclassOf,Q386724,P279
Q1629107,subclassOf,Q2741056,P279
Q10675206,subclassOf,Q15989253,P279
Q64418,subclassOf,Q728,P279
Q8205328,subclassOf,Q223557,P279
Q570116,subclassOf,Q960648,P279
Q25403900,subclassOf,Q2095,P279
Q184872,subclassOf,Q61788060,P279
Q796635,subclassOf,Q1485500,P279
Q79782,subclassOf,Q1150070,P279
Q15989253,subclassOf,Q35120,P279
Q223924,subclassOf,Q595658,P279
Q38904,instanceOf,Q39367,P31
Q1194058,subclassOf,Q2424752,P279
Q851782,subclassOf,Q22809652,P279
Q327065,subclassOf,Q778637,P279
Q61961344,subclassOf,Q16887380,P279
Q57814795,subclassOf,Q57812611,P279
Q21206,subclassOf,Q144,P279
Q130368,subclassOf,Q7550889,P279
Q9158768,subclassOf,Q6671777,P279
Q28367692,subclassOf,Q19829125,P279
Q39253,subclassOf,Q38672,P279
Q451967,subclassOf,Q3769299,P279
Q55724833,subclassOf,Q30038759,P279
Q20011319,subclassOf,Q28845870,P279
Q5268834,subclassOf,Q8148,P279
Q2858615,subclassOf,Q2425052,P279
Q153556,subclassOf,Q1183543,P279
Q18668582,subclassOf,Q15303351,P279
Q5639584,subclassOf,Q39546,P279
Q43229,subclassOf,Q16334295,P279
Q38301,instanceOf,Q39367,P31
Q58678,subclassOf,Q5638,P279
Q340169,subclassOf,Q286583,P279
Q13191,subclassOf,Q2574750,P279
Q629085,subclassOf,Q54940067,P279
Q11460,subclassOf,Q223557,P279
Q2574750,subclassOf,Q3314483,P279
Q25403900,subclassOf,Q10675206,P279
Q39201,subclassOf,Q28877,P279
Q1475429,instanceOf,Q1065579,P31
Q207822,subclassOf,Q987767,P279
Q12876,instanceOf,Q22999537,P31
Q55738960,subclassOf,Q50821977,P279
Q11348,subclassOf,Q1756942,P279
Q3955017,subclassOf,Q2424752,P279
Q1949963,subclassOf,Q516776,P279
Q746549,subclassOf,Q2424752,P279
Q10872571,subclassOf,Q5082128,P279
Q12876,subclassOf,Q25519785,P279
Q735,subclassOf,Q184872,P279
Q30038759,subclassOf,Q1808578,P279
Q11460,subclassOf,Q28877,P279
Q16896124,subclassOf,Q987767,P279
Q811979,subclassOf,Q386724,P279
Q10872571,subclassOf,Q1567371,P279
Q57812611,subclassOf,Q7377,P279
Q16722960,subclassOf,Q35120,P279
Q82794,subclassOf,Q27096213,P279
Q861259,subclassOf,Q3300034,P279
Q15621286,subclassOf,Q386724,P279
Q41176,subclassOf,Q13226383,P279
Q217594,subclassOf,Q246672,P279
Q13226383,subclassOf,Q27096235,P279
Q217594,subclassOf,Q16889133,P279
Q28803,subclassOf,Q748611,P279
Q188075,subclassOf,Q207822,P279
Q55182671,subclassOf,Q271669,P279
Q25265,subclassOf,Q729,P279
Q104385260,subclassOf,Q1194773,P279
Q778637,subclassOf,Q47146,P279
Q56052926,subclassOf,Q15989253,P279
Q768186,subclassOf,Q2184715,P279
Q24027474,instanceOf,Q24027515,P31
Q182731,subclassOf,Q485027,P279
Q50414774,subclassOf,Q14524031,P279
Q191851,subclassOf,Q16896124,P279
Q20793164,subclassOf,Q16798631,P279
Q3054261,subclassOf,Q1183543,P279
Q1051772,subclassOf,Q34379,P279
Q3749263,subclassOf,Q1183543,P279
Q9332,subclassOf,Q1914636,P279
Q2018526,subclassOf,Q80083,P279
Q1496967,subclassOf,Q82794,P279
Q5638,subclassOf,Q1515493,P279
Q11460,subclassOf,Q386724,P279
Q1420806,subclassOf,Q4406616,P279
Q11348,subclassOf,Q629085,P279
Q735,subclassOf,Q3249551,P279
Q7550889,subclassOf,Q7978115,P279
Q18593264,subclassOf,Q223557,P279
Q31807746,subclassOf,Q16686448,P279
Q864377,subclassOf,Q246672,P279
Q1144661,subclassOf,Q1183543,P279
Q595658,subclassOf,Q5936788,P279
Q105738,subclassOf,Q34379,P279
Q216530,subclassOf,Q61989482,P279
Q43229,subclassOf,Q6671777,P279
Q5185,instanceOf,Q16521,P31
Q391414,subclassOf,Q19603939,P279
Q6657015,subclassOf,Q39546,P279
Q35145263,subclassOf,Q27096220,P279
Q23808,subclassOf,Q7184903,P279
Q838948,subclassOf,Q28877,P279
Q1554231,subclassOf,Q35120,P279
Q28555911,subclassOf,Q6005984,P279
Q37755,instanceOf,Q39367,P31
Q12493,instanceOf,Q1156686,P31
Q811979,subclassOf,Q102074988,P279
Q193395,subclassOf,Q286583,P279
Q1798603,subclassOf,Q1051772,P279
Q5280486,subclassOf,Q133163,P279
Q6657015,subclassOf,Q16798631,P279
Q181055,subclassOf,Q28803,P279
Q692104,subclassOf,Q3391431,P279
Q811909,subclassOf,Q16686448,P279
Q177597,subclassOf,Q11446,P279
Q12766313,subclassOf,Q35145263,P279
Q3314483,subclassOf,Q25403900,P279
Q55724840,subclassOf,Q55724833,P279
Q35145263,subclassOf,Q618123,P279
Q191851,subclassOf,Q987767,P279
Q83180,subclassOf,Q391414,P279
Q1439598,subclassOf,Q28877,P279
Q3578987,subclassOf,Q16325263,P279
Q34698,instanceOf,Q82042,P31
Q974850,subclassOf,Q153556,P279
Q2160801,subclassOf,Q11460,P279
Q1914636,subclassOf,Q4026292,P279
Q39546,subclassOf,Q16798631,P279
Q11460,subclassOf,Q2424752,P279
Q13191,subclassOf,Q1429336,P279
Q49005,subclassOf,Q796635,P279
Q451967,subclassOf,Q4026292,P279
Q468402,subclassOf,Q206615,P279
Q38496,instanceOf,Q39367,P31
Q2374786,subclassOf,Q228039,P279
Q735,subclassOf,Q2018526,P279
Q47146,subclassOf,Q64830866,P279
Q12493,subclassOf,Q811979,P279
Q54940067,subclassOf,Q130901,P279
Q644309,instanceOf,Q16521,P31
Q1390,subclassOf,Q1360,P279
Q15710813,subclassOf,Q1454986,P279
Q185785,subclassOf,Q8205328,P279
Q23668,subclassOf,Q2453629,P279
Q214609,subclassOf,Q28555911,P279
Q3314483,subclassOf,Q16686022,P279
Q1485500,subclassOf,Q223557,P279
Q2127468,subclassOf,Q16887380,P279
Q213441,subclassOf,Q655686,P279
Q930933,subclassOf,Q7184903,P279
Q3030569,subclassOf,Q16798631,P279
Q182940,subclassOf,Q746549,P279
Q811979,subclassOf,Q618123,P279
Q181055,subclassOf,Q81799,P279
Q2457980,subclassOf,Q2998482,P279
Q34698,instanceOf,Q503992,P31
Q15618781,subclassOf,Q1301433,P279
Q185785,subclassOf,Q3054261,P279
Q795052,subclassOf,Q23958946,P279
Q3966,subclassOf,Q11661,P279
Q3444710,subclassOf,Q1395006,P279
Q837515,subclassOf,Q1183543,P279
Q22811462,subclassOf,Q21146257,P279
Q16869178,subclassOf,Q1371954,P279
Q5268834,subclassOf,Q11016,P279
Q655686,subclassOf,Q41176,P279
Q15141646,subclassOf,Q9158768,P279
Q23668,subclassOf,Q80228,P279
Q69016679,subclassOf,Q6657015,P279
Q7406919,subclassOf,Q2897903,P279
Q27043950,subclassOf,Q53617489,P279
Q57306162,subclassOf,Q55724840,P279
Q213441,subclassOf,Q13226383,P279
Q7978115,subclassOf,Q18643213,P279
Q3314483,subclassOf,Q2095,P279
Q987767,subclassOf,Q39546,P279
Q33972,instanceOf,Q11416,P31
Q28791169,subclassOf,Q1364,P279
Q16798631,subclassOf,Q8205328,P279
Q210729,subclassOf,Q3749263,P279
Q16529344,instanceOf,Q4167410,P31
Q18336849,subclassOf,Q35120,P279
Q2384798,subclassOf,Q178648,P279
Q15088658,subclassOf,Q2912517,P279
Q55610479,subclassOf,Q16334298,P279
Q79782,subclassOf,Q17988854,P279
Q50821977,subclassOf,Q105738,P279
Q7550889,subclassOf,Q1184840,P279
Q28877,subclassOf,Q488383,P279
Q18498,subclassOf,Q25324,P279
Q3249551,subclassOf,Q1150070,P279
Q851782,subclassOf,Q1521410,P279
Q1836700,subclassOf,Q8205328,P279
Q5469988,subclassOf,Q4393498,P279
Q76419950,subclassOf,Q18668582,P279
Q79782,subclassOf,Q17320256,P279
Q2625603,subclassOf,Q322481,P279
Q987767,subclassOf,Q8205328,P279
Q61961344,subclassOf,Q98119401,P279
Q194428,subclassOf,Q811430,P279
Q7239,subclassOf,Q27043950,P279
Q4393498,subclassOf,Q930933,P279
Q104637332,subclassOf,Q67518233,P279
Q748611,subclassOf,Q746549,P279
Q246672,subclassOf,Q7184903,P279
Q56761669,subclassOf,Q303288,P279
Q19829125,subclassOf,Q16889133,P279
Q12876,instanceOf,Q15142889,P31
Q29149,instanceOf,Q39367,P31
Q67518978,subclassOf,Q35120,P279
Q974850,subclassOf,Q32050,P279
Q2574750,subclassOf,Q27480917,P279
Q167633,instanceOf,Q1065579,P31
Q21206,instanceOf,Q39367,P31
Q861259,subclassOf,Q193395,P279
Q746549,subclassOf,Q2095,P279
Q129544,instanceOf,Q16521,P31
Q102074988,subclassOf,Q16686448,P279
Q2151621,subclassOf,Q8148,P279
Q178648,subclassOf,Q2858615,P279
Q82562,instanceOf,Q16521,P31
Q2625603,subclassOf,Q16334298,P279
Q16529344,subclassOf,Q57815212,P279
Q4936952,subclassOf,Q28845870,P279
Q47146,subclassOf,Q23808,P279
Q140,instanceOf,Q16521,P31
Q184358,subclassOf,Q55182671,P279
Q2133296,subclassOf,Q56052926,P279
Q2425052,subclassOf,Q931447,P279
Q18668582,subclassOf,Q861259,P279
Q156428,subclassOf,Q20011319,P279
Q36161,subclassOf,Q864377,P279
Q36161,subclassOf,Q5469988,P279
Q28367692,subclassOf,Q4406616,P279
Q210729,subclassOf,Q66310125,P279
Q468402,subclassOf,Q391414,P279
Q24229398,subclassOf,Q23958946,P279
Q230262,subclassOf,Q1798603,P279
Q1483757,subclassOf,Q4202245,P279
Q28728771,subclassOf,Q28732711,P279
Q1174791,subclassOf,Q271669,P279
Q28732711,subclassOf,Q4406616,P279
Q17334923,subclassOf,Q27096213,P279
Q1429336,subclassOf,Q15197056,P279
Q631931,subclassOf,Q735,P279
Q628858,subclassOf,Q2221906,P279
Q2741056,subclassOf,Q14745,P279
Q1333024,subclassOf,Q3030569,P279
Q5936788,subclassOf,Q1301433,P279
Q19478619,instanceOf,Q151885,P31
Q1566584,subclassOf,Q5639584,P279
Q1521410,subclassOf,Q26037047,P279
Q268547,instanceOf,Q361132,P31
Q1507442,subclassOf,Q2120578,P279
Q61788060,subclassOf,Q1914636,P279
Q16529344,subclassOf,Q1797813,P279
Q67518233,subclassOf,Q3249551,P279
Q185369,subclassOf,Q11019,P279
Q838948,subclassOf,Q17537576,P279
Q16325263,subclassOf,Q39546,P279
Q50414774,subclassOf,Q20793164,P279
Q2741056,subclassOf,Q987767,P279
Q47011175,subclassOf,Q31808206,P279
Q193395,subclassOf,Q3966,P279
Q6005984,subclassOf,Q28921572,P279
Q55983715,instanceOf,Q19361238,P31
Q11661,subclassOf,Q5268834,P279
Q16334298,subclassOf,Q61961344,P279
Q26401003,subclassOf,Q729,P279
Q17988854,subclassOf,Q1150070,P279
Q286583,subclassOf,Q8205328,P279
Q56052926,subclassOf,Q811430,P279
Q19478619,instanceOf,Q23958852,P31
Q2800000,subclassOf,Q570116,P279
Q2120578,subclassOf,Q19279121,P279
Q21369154,subclassOf,Q1065579,P279
Q517596,subclassOf,Q58778,P279
Q8205328,subclassOf,Q16686448,P279
Q107425,subclassOf,Q1496967,P279
Q49416455,subclassOf,Q27096235,P279
Q81799,subclassOf,Q746549,P279
Q24027526,instanceOf,Q23958852,P31
Q177597,subclassOf,Q18643213,P279
Q7184903,subclassOf,Q488383,P279
Q25306,subclassOf,Q7377,P279
Q451967,subclassOf,Q61788060,P279
Q268592,subclassOf,Q58778,P279
Q21146257,subclassOf,Q16889133,P279
Q19361238,instanceOf,Q24017465,P31
Q61954404,subclassOf,Q1087850,P279
Q811909,subclassOf,Q1310239,P279
Q1797813,subclassOf,Q729,P279
Q34379,subclassOf,Q39546,P279
Q39546,subclassOf,Q2424752,P279
Q213441,subclassOf,Q628858,P279
Q14745,subclassOf,Q8205328,P279
Q6671777,subclassOf,Q35120,P279
Q837718,subclassOf,Q28877,P279
Q134015,instanceOf,Q16521,P31
Q974850,subclassOf,Q41291,P279
Q516776,subclassOf,Q11348,P279
Q1642862,subclassOf,Q1229765,P279
Q27043948,subclassOf,Q53617407,P279
Q181055,instanceOf,Q7427595,P31
Q207822,subclassOf,Q2424752,P279
Q1229765,subclassOf,Q50380212,P279
Q16521,instanceOf,Q24017414,P31
Q1823435,subclassOf,Q65037298,P279
Q3249551,subclassOf,Q20937557,P279
Q17988854,subclassOf,Q9332,P279
Q11446,subclassOf,Q16391167,P279
Q59095968,subclassOf,Q82604,P279
Q1325045,instanceOf,Q16521,P31
Q58416391,subclassOf,Q58415929,P279
Q58415929,subclassOf,Q35120,P279
Q193395,subclassOf,Q340169,P279
Q796635,subclassOf,Q8205328,P279
Q15197056,subclassOf,Q28791169,P279
Q11661,subclassOf,Q7406919,P279
Q30038792,subclassOf,Q19462049,P279
Q194428,subclassOf,Q811979,P279
Q38496,subclassOf,Q144,P279
Q228039,subclassOf,Q517596,P279
Q23808,subclassOf,Q230629,P279
Q2095,subclassOf,Q1422299,P279
